"Date","Calories","rHR","Steps","sSleep","Sleep_hours","Distance","h_o_s"
"2022-04-08",3727,57,17983,"2022-04-08 00:05:30",7.55,8.57412678682411,"Late"
"2022-04-09",4096,57,15725,"2022-04-08 23:45:30",7.33333333333333,8.52019266625233,"Early"
"2022-04-10",3954,58,17677,"2022-04-09 23:20:30",7.85,9.3961031696706,"Early"
"2022-04-11",3475,59,12411,"2022-04-11 00:26:30",6.95,6.71211311373524,"Late"
"2022-04-12",3406,56,16319,"2022-04-12 01:24:00",6.75,7.74873213175886,"Late"
"2022-04-13",2896,56,9617,"2022-04-13 01:42:00",1.26666666666667,4.56642635177129,"Late"
"2022-04-14",4513,54,23395,"2022-04-13 22:28:30",8.6,11.7466314481044,"Early"
"2022-04-15",3443,54,14151,"2022-04-15 00:57:00",7,6.71930391547545,"Late"
"2022-04-16",3741,53,17155,"2022-04-16 02:32:30",5.25,8.14569297700435,"Late"
"2022-04-21",3329,57,13884,"2022-04-21 13:54:30",1.53333333333333,6.59252330640149,"Late"
"2022-04-21",3329,57,13884,"2022-04-21 11:01:30",1.18333333333333,6.59252330640149,"Late"
"2022-04-21",3329,57,13884,"2022-04-20 23:34:30",1.28333333333333,6.59252330640149,"Early"
"2022-04-22",3412,58,8700,"2022-04-22 06:44:30",2.1,4.13101305158484,"Late"
"2022-04-22",3412,58,8700,"2022-04-22 01:31:00",3.56666666666667,4.13101305158484,"Late"
"2022-04-23",3516,60,14440,"2022-04-23 00:03:30",8.73333333333333,6.85653200745805,"Late"
"2022-04-24",3780,60,15191,"2022-04-24 02:10:00",5.95,7.21312616532007,"Late"
"2022-04-25",3245,61,13244,"2022-04-25 02:08:00",6.7,6.28863269111249,"Late"
"2022-04-26",3193,63,15638,"2022-04-26 01:21:00",6.68333333333333,7.42537600994406,"Late"
"2022-04-27",3814,65,19942,"2022-04-27 01:01:30",7.88333333333333,9.46903666873835,"Late"
"2022-04-28",3556,63,16459,"2022-04-28 00:41:00",6.98333333333333,7.81520820385332,"Late"
"2022-04-29",3670,62,16688,"2022-04-28 23:04:00",7.35,7.92394655065258,"Early"
"2022-04-30",3795,60,12039,"2022-04-30 00:02:00",8,5.71646364201367,"Late"
"2022-05-01",3215,59,8546,"2022-05-01 01:40:30",6.9,4.05788688626476,"Late"
"2022-05-01",3215,59,8546,"2022-04-30 22:41:00",1.56666666666667,4.05788688626476,"Early"
"2022-05-02",3713,58,15537,"2022-05-02 01:22:00",7.6,7.37741454319453,"Late"
"2022-05-03",3788,58,16781,"2022-05-03 18:33:00",1.18333333333333,7.96810441267868,"Late"
"2022-05-03",3788,58,16781,"2022-05-03 01:12:00",6.38333333333333,7.96810441267868,"Late"
"2022-05-04",2821,59,8206,"2022-05-04 01:18:00",8.06666666666667,3.89644499689248,"Late"
"2022-05-05",3573,58,13243,"2022-05-05 00:18:30",6.26666666666667,6.28816034804226,"Late"
"2022-05-06",3227,58,7086,"2022-05-06 00:31:30",7,3.36463642013673,"Late"
"2022-05-07",3655,57,18526,"2022-05-07 02:25:00",6.31666666666667,8.79668116842759,"Late"
"2022-05-08",2746,56,7630,"2022-05-08 02:03:30",6.53333333333333,3.62294592914854,"Late"
"2022-05-10",3532,56,14064,"2022-05-10 00:53:00",7.36666666666667,6.67799254195152,"Late"
"2022-05-11",2691,58,4493,"2022-05-11 02:10:00",6.31666666666667,2.13340584213797,"Late"
"2022-05-12",3987,56,16850,"2022-05-12 02:31:00",5.58333333333333,8.00087010565569,"Late"
"2022-05-13",3811,57,17168,"2022-05-13 01:24:30",4.8,8.15186451211933,"Late"
"2022-05-14",3243,58,10833,"2022-05-14 01:33:30",6.2,5.14382224984462,"Late"
"2022-05-15",3471,57,14410,"2022-05-15 00:48:00",8.55,6.87272218769422,"Late"
"2022-05-19",3649,58,15029,"2022-05-18 23:00:00",6.71666666666667,7.13620261031697,"Early"
"2022-05-20",3218,59,9712,"2022-05-20 00:52:30",7.03333333333333,4.61153511497825,"Late"
"2022-05-22",3219,58,11688,"2022-05-22 00:21:00",8.3,5.54980111870727,"Late"
"2022-05-23",3145,57,8571,"2022-05-23 00:04:30",6.45,4.06975761342449,"Late"
"2022-05-24",3232,58,9769,"2022-05-24 17:43:00",1.3,4.6386016159105,"Late"
"2022-05-25",3471,59,11488,"2022-05-25 01:55:00",5.08333333333333,5.45483530142946,"Late"
"2022-05-26",3122,59,7227,"2022-05-26 01:07:30",6.06666666666667,3.43158483530143,"Late"
"2022-05-27",3529,59,14623,"2022-05-26 22:55:30",8.31666666666667,6.94342448725917,"Early"
"2022-05-28",3749,60,15646,"2022-05-28 00:35:00",7.93333333333333,7.46006836544437,"Late"
"2022-05-29",3230,60,10380,"2022-05-29 01:44:00",8.18333333333333,4.92872591671846,"Late"
"2022-05-30",1991,64,3606,"2022-05-30 00:45:30",6.23333333333333,1.7122311995028,"Late"
